method,missing_mode,missing_value,metric,n,win_rate,median_improvement,mne_median,trss_median
trss_oracle_grid,nearby,0.1,mae,15,0.8,0.19546903623989453,1.1182077176688933e-05,9.072487608382816e-06
trss_oracle_grid,nearby,0.1,nrmse,15,0.7333333333333333,0.20621626250919925,0.6799013318012794,0.6087683456951897
trss_oracle_grid,nearby,0.1,lsd,15,0.4666666666666667,-0.007411543561112482,0.7049502424838496,0.6185387100933056
trss_oracle_grid,nearby,0.1,runtime_s,15,0.0,-8.005091474682224,0.0118374270005006,0.1253768169990508
trss_oracle_grid,nearby,0.3,mae,15,0.8,0.41221292672314264,1.6725279526051387e-05,1.0374513195196802e-05
trss_oracle_grid,nearby,0.3,nrmse,15,0.8,0.3784731417441408,1.3183161549399234,0.7455990591035044
trss_oracle_grid,nearby,0.3,lsd,15,0.3333333333333333,-0.023837234235986753,0.7512578232029653,0.7837223668969703
trss_oracle_grid,nearby,0.3,runtime_s,15,0.0,-9.99417478951323,0.008091861000139,0.1044003099996189
trss_oracle_grid,nearby,0.4,mae,15,0.8666666666666667,0.42625751251977034,1.830426284738241e-05,1.113315659008124e-05
trss_oracle_grid,nearby,0.4,nrmse,15,0.8666666666666667,0.4435822682222265,1.2247769942706828,0.7855601873547813
trss_oracle_grid,nearby,0.4,lsd,15,0.6,0.04331639151590952,0.9672120065313864,0.8425716889304049
trss_oracle_grid,nearby,0.4,runtime_s,15,0.0,-9.28237739729242,0.0088847779989009,0.0772418230008042
trss_oracle_grid,nearby,1.0,mae,15,0.7333333333333333,0.1177106781664775,7.1426032661807575e-06,5.585969272214693e-06
trss_oracle_grid,nearby,1.0,nrmse,15,0.7333333333333333,0.11784925701384724,0.5755153769025986,0.4288002250169929
