dataset,graph,method,missing_ratio,n,mean,median,std
bci_competition_iv_2a_proxy,knn__k3,puy,0.2,13,6.174504160258935e-07,5.726428190967058e-07,1.06674483712176e-07
bci_competition_iv_2a_proxy,knn__k3,puy,0.3,14,7.20448194721914e-07,6.94277068772099e-07,9.630551387162449e-08
bci_competition_iv_2a_proxy,knn__k3,puy,0.4,14,8.024214673267332e-07,8.065892891783015e-07,1.0024062975291292e-07
bci_competition_iv_2a_proxy,knn__k3,rbfi_mq,0.1,13,6.080798509718889e-07,6.136471051687299e-07,8.209799751337183e-08
bci_competition_iv_2a_proxy,knn__k3,rbfi_mq,0.2,13,6.786647021384346e-07,6.853236669510061e-07,6.9964370536923e-08
bci_competition_iv_2a_proxy,knn__k3,rbfi_mq,0.3,14,7.691317223457613e-07,7.649295649776858e-07,9.948791375667228e-08
bci_competition_iv_2a_proxy,knn__k3,rbfi_mq,0.4,14,8.692612347703326e-07,8.777584456428358e-07,9.192301985345862e-08
bci_competition_iv_2a_proxy,knn__k3,rbfi_tps,0.1,13,5.385730961561368e-07,5.410569239153915e-07,6.400300289527967e-08
bci_competition_iv_2a_proxy,knn__k3,rbfi_tps,0.2,13,6.549463306929803e-07,6.47580165393145e-07,8.575462462438919e-08
bci_competition_iv_2a_proxy,knn__k3,rbfi_tps,0.3,14,7.229657506171432e-07,7.176940360187337e-07,9.031306650561912e-08
bci_competition_iv_2a_proxy,knn__k3,rbfi_tps,0.4,14,7.941027096832105e-07,7.588175917363811e-07,1.1443009950482269e-07
bci_competition_iv_2a_proxy,knn__k3,sobolev,0.1,13,5.424762589461955e-07,5.428485974768879e-07,9.234916125233557e-08
bci_competition_iv_2a_proxy,knn__k3,sobolev,0.2,13,6.420791307247761e-07,6.592914538934592e-07,5.832258821023143e-08
bci_competition_iv_2a_proxy,knn__k3,sobolev,0.3,14,7.085701160413941e-07,6.965973515589686e-07,9.170724836528905e-08
bci_competition_iv_2a_proxy,knn__k3,sobolev,0.4,14,8.050489476587394e-07,7.663844961291255e-07,1.1387181628603197e-07
