dataset,method,graph,missing_ratio,mae,rmse,dtw,snr,block,source_file,family
synthetic_beta,sobolev,vknng__alpha1_k4_k_max8_k_min2,0.1,0.5669637774972913,0.6371631713537008,,1.0102343599737102,synthetic_beta__0.1_145,it36_3syn_beta_low_missing_raw.csv,
synthetic_beta,graph_time_tikhonov,vknng__alpha1_k4_k_max8_k_min2,0.1,0.3728127206420485,0.4376323820606175,,4.725522100056412,synthetic_beta__0.1_146,it36_3syn_beta_low_missing_raw.csv,
synthetic_beta,trss,vknng__alpha1_k4_k_max8_k_min2,0.1,0.0693703002511968,0.2466252784349277,,-0.6556544199744314,synthetic_beta__0.1_147,it36_3syn_beta_low_missing_raw.csv,
synthetic_beta,tv,vknng__alpha1_k4_k_max8_k_min2,0.1,0.0655383098928321,0.2309287084535218,,-0.0835172174435201,synthetic_beta__0.1_148,it36_3syn_beta_low_missing_raw.csv,
synthetic_beta,temporal_laplacian,vknng__alpha1_k4_k_max8_k_min2,0.1,0.4291826393447857,0.4893101217765125,,3.5206667197359303,synthetic_beta__0.1_149,it36_3syn_beta_low_missing_raw.csv,
synthetic_beta,heat_diffusion_temporal,vknng__alpha1_k4_k_max8_k_min2,0.1,0.0657185512163132,0.2297710300299559,,-0.0398177736771034,synthetic_beta__0.1_150,it36_3syn_beta_low_missing_raw.csv,
synthetic_beta,wavelet_temporal,vknng__alpha1_k4_k_max8_k_min2,0.1,0.0972550955904503,0.2535726441167424,,14.587401104064284,synthetic_beta__0.1_152,it36_3syn_beta_low_missing_raw.csv,
synthetic_beta,directed_tv,vknng__alpha1_k4_k_max8_k_min2,0.1,0.0691069081597729,0.2437536268113449,,-0.5239428670495482,synthetic_beta__0.1_153,it36_3syn_beta_low_missing_raw.csv,
synthetic_beta,linear,vknng__alpha1_k4_k_max8_k_min2,0.2,0.1623711442886609,0.4199936236966927,,-2.1649653627217624,synthetic_beta__0.2_154,it36_3syn_beta_low_missing_raw.csv,
synthetic_beta,nearest,vknng__alpha1_k4_k_max8_k_min2,0.2,0.1735483953645094,0.4632412597566516,,-3.027617132778527,synthetic_beta__0.2_155,it36_3syn_beta_low_missing_raw.csv,
