method,graph,count,mean_mae,std_mae,median_mae,mean_rmse,mean_dtw,mean_snr
spherical_spline,gaussian__sigma1,348,0.1392505768471695,0.1505475294973537,0.0900113475768736,0.3215410444941546,,-0.629023800767377
spherical_spline,kalofolias,479,0.1271969936896163,0.13899282558472906,0.0900113475768736,0.292905105925854,0.5092231215136575,-0.5305743843663762
spherical_spline,knn,88,0.06479363799206661,0.08582052995069771,2.073590437289728e-05,0.14741490256684922,0.4745113276535682,2.8729589538913696
spherical_spline,knn__k3,612,0.08301731501210158,0.13512261517264457,2.8419104646159553e-05,0.19202814845122163,,0.2766121716246139
spherical_spline,knn__k5,230,0.2175347693972056,0.13811110228273557,0.2204097595538203,0.5026522744824924,,-3.0262592473525762
spherical_spline,knng,164,0.06953405819993747,0.08677899350632558,2.5275144963760008e-05,0.15819998829941484,0.5092231215136575,2.2931951886394533
spherical_spline,knng__k4_sigma1,210,0.2139537751429983,0.1383134042112526,0.2204097595538203,0.49421359650775976,,-2.9481476901751433
spherical_spline,nnk,84,0.06787867336544287,0.08664989639614397,2.4340410426883005e-05,0.15443376788486812,0.49710154270537227,2.495652376505202
spherical_spline,nnk__k4,235,0.2107351512150794,0.13910045056410877,0.2204097595538203,0.4866133605277296,,-2.909199923249087
spherical_spline,vknng,164,0.06953405819993747,0.08677899350632558,2.5275144963760008e-05,0.15819998829941484,0.5092231215136575,2.2931951886394533
spherical_spline,vknng__alpha1_k4_k_max8_k_min2,210,0.2139537751429983,0.13831340421125257,0.2204097595538203,0.49421359650775976,,-2.9481476901751433
spline_surface,aew,4,6.143188754502473e-06,4.285042496593055e-08,6.14637428801549e-06,1.3343535330116435e-05,9.226063131918954e-05,12.251396263723493
spline_surface,aew__k4_sigma_corr0_5_sigma_dist1,194,0.2576928465150359,0.13666908726301874,0.2678459665275379,0.6959434049756203,,-5.095325275358669
spline_surface,gaussian,4,6.143188754502473e-06,4.285042496593055e-08,6.14637428801549e-06,1.3343535330116435e-05,9.226063131918954e-05,12.251396263723493
spline_surface,gaussian__sigma1,348,0.16822903266568517,0.16386285743254375,0.1478793613197529,0.45266634569980563,,-2.5030952829676933
spline_surface,kalofolias,319,0.18755529321442052,0.1624736034247695,0.2057853567915946,0.5048681703972983,9.226063131918954e-05,-3.8727127244167
spline_surface,knn,8,6.143188754502473e-06,3.96717847172542e-08,6.14637428801549e-06,1.3343535330116435e-05,9.226063131918954e-05,12.251396263723493
spline_surface,knn__k3,612,0.10021439441638501,0.1512255514142902,2.325108842615313e-05,0.27029600929544717,,-1.405643811995018
spline_surface,knn__k5,230,0.2625648669094159,0.1332899774804841,0.2678459665275379,0.7088850593737006,,-5.1475912632340695
spline_surface,knng,4,6.143188754502473e-06,4.285042496593055e-08,6.14637428801549e-06,1.3343535330116435e-05,9.226063131918954e-05,12.251396263723493
spline_surface,knng__k4_sigma1,210,0.2584164370228931,0.1348974696531491,0.2678459665275379,0.6965179341781794,,-5.067934840120089
spline_surface,nnk,4,6.143188754502473e-06,4.285042496593055e-08,6.14637428801549e-06,1.3343535330116435e-05,9.226063131918954e-05,12.251396263723493
spline_surface,nnk__k4,235,0.2545917773759931,0.13687492125117848,0.2678459665275379,0.6853189729410308,,-5.01863297817351
spline_surface,vknng,4,6.143188754502473e-06,4.285042496593055e-08,6.14637428801549e-06,1.3343535330116435e-05,9.226063131918954e-05,12.251396263723493
spline_surface,vknng__alpha1_k4_k_max8_k_min2,210,0.2584164370228931,0.13489746965314914,0.2678459665275379,0.6965179341781794,,-5.067934840120089
spline_temporal,aew,4,1.0490312348675234e-05,3.771623557614835e-08,1.0504049720417932e-05,1.4024824100799886e-05,0.00010987479964175,11.293453982161138
spline_temporal,gaussian,4,1.632277253753079e-05,1.8794388144513476e-08,1.6326443313554834e-05,2.108166965535528e-05,0.0001535043706497,7.662200463984954
spline_temporal,kalofolias,4,1.5036703943031426e-05,1.800090018114918e-08,1.504088879093005e-05,1.956692949921928e-05,0.000145154036774525,8.30995633753604
spline_temporal,knn,8,1.0882408174462986e-05,1.149972022313909e-06,1.0878769583906663e-05,1.4545106584377948e-05,0.000112992387457325,11.076946293746216
spline_temporal,knng,4,1.1235819937964645e-05,3.9659956973828835e-08,1.12496990884783e-05,1.4898591696739714e-05,0.000115984764608775,10.78637007470499
spline_temporal,nnk,4,7.323691495539561e-06,3.12567742978749e-08,7.321690364375987e-06,1.089462711954406e-05,8.516524303727973e-05,13.649814674744688
spline_temporal,vknng,4,1.1064518430755127e-05,3.6452527907138955e-08,1.1078650790765514e-05,1.4698971353166476e-05,0.0001149407820164,10.884423322062457
temporal_laplacian,aew,4,3.205999454000681e-05,2.979047806569824e-08,3.205150987192049e-05,4.054301327085655e-05,0.000268740147184325,2.1356428572020034
