dataset,method,family,graph,missing_ratio,mae,rmse,snr,block,source_file,dtw
synthetic_alpha,spherical_spline,instant,aew__k4_sigma_corr0_5_sigma_dist1,0.1,0.1109596651986618,0.4071882526204173,-4.5856010357981205,synthetic_alpha__0.1_136,it56_3syn_mr10_only_raw.csv,
synthetic_alpha,rbfi_tps,instant,aew__k4_sigma_corr0_5_sigma_dist1,0.1,0.088427217921455,0.3314997645390123,-2.570316269427729,synthetic_alpha__0.1_137,it56_3syn_mr10_only_raw.csv,
synthetic_alpha,rbfi_mq,instant,aew__k4_sigma_corr0_5_sigma_dist1,0.1,0.0895496117788872,0.3334451921211877,-2.776695396371658,synthetic_alpha__0.1_138,it56_3syn_mr10_only_raw.csv,
synthetic_alpha,spline_surface,instant,aew__k4_sigma_corr0_5_sigma_dist1,0.1,0.363683314967057,1.7420712241529503,-12.999275934669356,synthetic_alpha__0.1_139,it56_3syn_mr10_only_raw.csv,
synthetic_alpha,gsp,instant,aew__k4_sigma_corr0_5_sigma_dist1,0.1,0.0823523748278292,0.2898065498882755,-1.7646466686706992,synthetic_alpha__0.1_140,it56_3syn_mr10_only_raw.csv,
synthetic_alpha,tikhonov,instant,aew__k4_sigma_corr0_5_sigma_dist1,0.1,0.0958535972553607,0.2888096830366836,28.464938421867444,synthetic_alpha__0.1_141,it56_3syn_mr10_only_raw.csv,
synthetic_alpha,bgsrp,instant,aew__k4_sigma_corr0_5_sigma_dist1,0.1,0.502190693386631,0.6111577900377752,1.840124135215682,synthetic_alpha__0.1_142,it56_3syn_mr10_only_raw.csv,
synthetic_alpha,gsmooth,instant,aew__k4_sigma_corr0_5_sigma_dist1,0.1,0.0654326345423263,0.2292021160145071,0.1687199035903924,synthetic_alpha__0.1_143,it56_3syn_mr10_only_raw.csv,
synthetic_alpha,puy,instant,aew__k4_sigma_corr0_5_sigma_dist1,0.1,0.1125244879867275,0.3425165112694019,26.67594799854869,synthetic_alpha__0.1_144,it56_3syn_mr10_only_raw.csv,
synthetic_alpha,sobolev,instant,aew__k4_sigma_corr0_5_sigma_dist1,0.1,0.3657421789889675,0.4283745412737458,5.006146365642532,synthetic_alpha__0.1_145,it56_3syn_mr10_only_raw.csv,
