dataset,graph,missing_ratio,best_method,best_mean,best_n,second_method,second_mean,second_n
synthetic_16ch,knn__k3,2ch,tv,0.44118018240112955,10,mean,0.4521376353181103,10
synthetic_16ch,knn__k3,3ch,tv,0.5296388518306363,4,trss,0.5497800289812441,3
synthetic_32ch,gaussian,0.1,trss,0.3995280531623302,10,tv,0.4073570115895676,10
synthetic_32ch,gaussian,0.2,trss,0.42544788549404905,10,tv,0.42712249609659736,10
synthetic_32ch,gaussian,0.3,trss,0.4364334468178739,10,tv,0.44345238136323095,10
synthetic_32ch,gaussian,0.4,trss,0.46222144457153946,10,tv,0.46251321848093446,10
synthetic_32ch,kalofolias,0.1,trss,0.40222477230710707,3,tv,0.40352326456427695,3
synthetic_32ch,kalofolias,0.2,trss,0.4267914565481434,3,tv,0.432433108577913,3
synthetic_32ch,kalofolias,0.3,trss,0.4423228237426069,3,graph_time_tikhonov,0.44515339990472125,3
synthetic_32ch,kalofolias,0.4,trss,0.4622019596432922,3,tv,0.4675451877388239,3
synthetic_32ch,knn__k3,0.1,trss,0.3827802619392936,13,tv,0.38333407245031526,13
synthetic_32ch,knn__k3,0.2,trss,0.40582254719459177,13,tv,0.4103691597936159,13
synthetic_32ch,knn__k3,0.3,trss,0.4216232414469504,13,tv,0.4243179385620701,13
synthetic_32ch,knn__k3,0.4,trss,0.43677788629528574,13,tv,0.44318203410962503,13
synthetic_32ch,knn__k3,1ch,mean,0.4353307527706473,3,tv,0.5226602289460256,3
synthetic_32ch,knn__k3,2ch,graph_time_tikhonov,0.4742905110584647,1,tikhonov,0.4744996680266545,3
synthetic_8ch,knn__k3,1ch,nearest,0.3530787236395039,2,mean,0.3983060392448737,2
synthetic_8ch,knn__k3,2ch,mean,0.3914457350306227,2,tv,0.3971987556556163,2
synthetic_alpha,aew__k4_sigma_corr0_5_sigma_dist1,0.1,mean,0.058947897669553204,14,idw,0.0625841043918718,14
synthetic_alpha,aew__k4_sigma_corr0_5_sigma_dist1,0.2,mean,0.12084672943956762,14,gsmooth,0.1288164554657387,14
