graph,dataset,missing_ratio,best_method,best_mean_mae,best_n,best_std,ci_lower,ci_upper,second_method,second_mean_mae,second_n,second_std,delta_mean,p_raw,p_adj,significant,rank_biserial
knn__k5,synthetic_broad,0.3,directed_tv,0.1984018268096209,19,0.0,0.1984018268096209,0.1984018268096209,heat_diffusion_temporal,0.1989892419224689,19,0.0,0.0005874151128479,1.3120632979510227e-09,3.516329638508741e-07,True,1.0
knng__k4_sigma1,synthetic_broad,0.1,directed_tv,0.0760447268939126,17,0.0,0.0760447268939126,0.0760447268939126,heat_diffusion_temporal,0.0800986413131064,17,0.0,0.0040539144191937,1.036256682624278e-08,2.3523026695571107e-06,True,1.0
vknng__alpha1_k4_k_max8_k_min2,synthetic_broad,0.1,directed_tv,0.0760415013431796,17,0.0,0.0760415013431796,0.0760415013431796,heat_diffusion_temporal,0.0801773425579821,17,0.0,0.0041358412148025,1.036256682624278e-08,2.290127268599654e-06,True,1.0
kalofolias,synthetic_16ch,0.4,graph_time_tikhonov,0.528733542678436,3,0.0127823825949031,0.5139901404418623,0.5367080478033688,tv,0.5395463537469988,3,0.0094513998211779,0.0108128110685628,0.4,1.0,False,0.5555555555555556
aew,mne_sample,0.1,gsmooth,2.8076627950797423e-06,60,1.030892664160487e-06,2.5430663353344148e-06,3.064827976629522e-06,gsp,2.8245522429751617e-06,20,1.0407717884326104e-06,1.6889447895419433e-08,0.880764615259515,1.0,False,0.0233333333333333
knn,mne_sample,0.1,gsmooth,2.8336955318368885e-06,30,1.0647088531481818e-06,2.46425429482182e-06,3.21254185889129e-06,tv,2.8351637402614924e-06,30,1.023733142531112e-06,1.468208424603836e-09,0.7844597689495465,1.0,False,0.0422222222222222
knng,mne_sample,0.1,gsmooth,2.833734226715769e-06,60,1.0556472697937177e-06,2.5619244573996912e-06,3.0943854467016367e-06,tv,2.8351653443634064e-06,60,1.015021232578779e-06,1.4311176476369532e-09,0.6919042110655491,1.0,False,0.0422222222222222
knng__k4_sigma1,synthetic_beta,0.2,gsmooth,0.1328613633611322,16,0.0,0.1328613633611322,0.1328613633611322,heat_diffusion_temporal,0.1328895980734084,16,0.0,2.8234712276198337e-05,2.9225329082331762e-08,6.108093778207338e-06,True,1.0
nnk__k4,synthetic_beta,0.1,gsmooth,0.0651068410782072,18,0.0,0.0651068410782072,0.0651068410782072,heat_diffusion_temporal,0.065452944925392,18,0.0,0.0003461038471847,3.683348423440707e-09,8.876869700492104e-07,True,1.0
vknng__alpha1_k4_k_max8_k_min2,synthetic_beta,0.2,gsmooth,0.1327545351918531,16,0.0,0.1327545351918531,0.1327545351918531,heat_diffusion_temporal,0.1328082211442333,16,0.0,5.368595238020024e-05,2.9225329082331762e-08,5.961967132795679e-06,True,1.0
kalofolias,physionet_eegmmidb,0.4,gsp,1.1918365045793027e-05,30,1.3914463404114178e-06,1.142557819322698e-05,1.2415570520272823e-05,gsmooth,1.2529205264407784e-05,31,1.552904953034608e-06,6.108402186147572e-07,0.0235851206115458,1.0,False,0.3376344086021505
