id,count_paths,has_run_metadata,has_significance,figure_pdfs,figure_pngs
it50_physionet_multisubj_strong_tv_raw,1,0,0,0,0
it50_physionet_multisubj_strong_tv_run_metadata,1,1,0,0,0
it50_physionet_multisubj_strong_tv_significance,1,0,1,0,0
it50_physionet_multisubj_strong_tv_stats,1,0,0,0,0
it51_all_datasets_strong_tv_integration_log,1,0,0,0,0
it51_all_datasets_strong_tv_qa_report,1,0,0,0,0
it51_all_datasets_strong_tv_raw,1,0,0,0,0
it51_all_datasets_strong_tv_run_metadata,1,1,0,0,0
it51_all_datasets_strong_tv_significance,1,0,1,0,0
it51_all_datasets_strong_tv_stats,1,0,0,0,0
it51_all_datasets_strong_tv_tables,2,0,0,0,0
it52_all_datasets_gaussian_graph_integration_log,1,0,0,0,0
it52_all_datasets_gaussian_graph_qa_report,1,0,0,0,0
it52_all_datasets_gaussian_graph_raw,1,0,0,0,0
it52_all_datasets_gaussian_graph_run_metadata,1,1,0,0,0
it52_all_datasets_gaussian_graph_significance,1,0,1,0,0
it52_all_datasets_gaussian_graph_stats,1,0,0,0,0
it52_all_datasets_gaussian_graph_tables,2,0,0,0,0
it53_all_datasets_nnk_integration_log,1,0,0,0,0
it53_all_datasets_nnk_qa_report,1,0,0,0,0
it53_all_datasets_nnk_raw,1,0,0,0,0
it53_all_datasets_nnk_run_metadata,1,1,0,0,0
it53_all_datasets_nnk_significance,1,0,1,0,0
it53_all_datasets_nnk_stats,1,0,0,0,0
it53_all_datasets_nnk_tables,2,0,0,0,0
it54_all_datasets_high_mr_integration_log,1,0,0,0,0
it54_all_datasets_high_mr_qa_report,1,0,0,0,0
it54_all_datasets_high_mr_raw,1,0,0,0,0
it54_all_datasets_high_mr_run_metadata,1,1,0,0,0
it54_all_datasets_high_mr_significance,1,0,1,0,0
it54_all_datasets_high_mr_stats,1,0,0,0,0
it54_all_datasets_high_mr_tables,2,0,0,0,0
it55_all_datasets_low_mr_integration_log,1,0,0,0,0
it55_all_datasets_low_mr_qa_report,1,0,0,0,0
it55_all_datasets_low_mr_raw,1,0,0,0,0
it55_all_datasets_low_mr_run_metadata,1,1,0,0,0
it55_all_datasets_low_mr_significance,1,0,1,0,0
it55_all_datasets_low_mr_stats,1,0,0,0,0
it55_all_datasets_low_mr_tables,2,0,0,0,0
it56_3syn_mr10_only_integration_log,1,0,0,0,0
