"graph","method","combo","mean_mae","median_mae","std_mae","min_mae","max_mae","cv_mae","count","datasets_count","real_datasets_count","real_obs_count","rank_metric_mean","rank_metric_median","rank_metric_stability","rank_metric_cv"
"knng__k4_sigma1","rbfi_tps","knng__k4_sigma1|rbfi_tps","0,180890145249449","0,183393548660453","0,135855333182157","1,88642034112994E-06","0,381854290966701","0,751037780387713","18","4","1","4","0,248817811840528","0,183393548660453","0,316745478431607","0,751037780387713"
"knn__k3","rbfi_tps","knn__k3|rbfi_tps","0,180890145249449","0,183393548660453","0,135855333182157","1,88642034112994E-06","0,381854290966701","0,751037780387713","18","4","1","4","0,248817811840528","0,183393548660453","0,316745478431607","0,751037780387713"
"vknng__alpha1_k4_k_max8_k_min2","rbfi_tps","vknng__alpha1_k4_k_max8_k_min2|rbfi_tps","0,180890145249449","0,183393548660453","0,135855333182157","1,88642034112994E-06","0,381854290966701","0,751037780387713","18","4","1","4","0,248817811840528","0,183393548660453","0,316745478431607","0,751037780387713"
"knn__k5","rbfi_tps","knn__k5|rbfi_tps","0,180890145249449","0,183393548660453","0,135855333182157","1,88642034112994E-06","0,381854290966701","0,751037780387713","18","4","1","4","0,248817811840528","0,183393548660453","0,316745478431607","0,751037780387713"
"aew__k4_sigma_corr0_5_sigma_dist1","rbfi_tps","aew__k4_sigma_corr0_5_sigma_dist1|rbfi_tps","0,180890145249449","0,183393548660453","0,135855333182157","1,88642034112994E-06","0,381854290966701","0,751037780387713","18","4","1","4","0,248817811840528","0,183393548660453","0,316745478431607","0,751037780387713"
"kalofolias","rbfi_tps","kalofolias|rbfi_tps","0,180890145249449","0,183393548660453","0,135855333182157","1,88642034112994E-06","0,381854290966701","0,751037780387713","18","4","1","4","0,248817811840528","0,183393548660453","0,316745478431607","0,751037780387713"
"gaussian__sigma1","rbfi_tps","gaussian__sigma1|rbfi_tps","0,180890145249449","0,183393548660453","0,135855333182157","1,88642034112994E-06","0,381854290966701","0,751037780387713","18","4","1","4","0,248817811840528","0,183393548660453","0,316745478431607","0,751037780387713"
"knng__k4_sigma1","tikhonov","knng__k4_sigma1|tikhonov","0,193496446760226","0,208682638327824","0,122666293341175","6,90424700997313E-06","0,341702838995859","0,633945973660069","18","4","1","4","0,254829593430813","0,208682638327824","0,316162740101401","0,633945973660069"
"knn__k3","tikhonov","knn__k3|tikhonov","0,197334528191192","0,216144900707595","0,125398695286422","6,07026318206901E-06","0,342826285391105","0,635462513508667","18","4","1","4","0,260033875834403","0,216144900707595","0,322733223477614","0,635462513508667"
"knn__k5","rbfi_mq","knn__k5|rbfi_mq","0,189866126247016","0,190120089820385","0,141525867341367","2,38577284105107E-06","0,389896333845358","0,745398192604623","18","4","1","4","0,2606290599177","0,190120089820385","0,331391993588383","0,745398192604623"
