dataset,graph,graph_method,interp_label,method,family,missing_ratio,mae,rmse,dtw,snr
synthetic_alpha,knn__k5,knn,gsp,gsp,instant,0.3,0.1691838124483995,0.39758029462004746,2.0372028213492075,5.26253563580438
synthetic_alpha,knn__k5,knn,tikhonov__alpha0_1,tikhonov,instant,0.3,0.3074953860281249,0.4303135770364651,2.5317829596851418,4.494158030325348
synthetic_alpha,knn__k5,knn,tikhonov__alpha1,tikhonov,instant,0.3,0.4991265152395953,0.588885363748412,4.125887205442138,1.6871986835398944
synthetic_alpha,knn__k5,knn,bgsrp__bandwidth0_5_gamma0_1,bgsrp,instant,0.3,0.5607287153601026,0.6629556323875684,4.120433848901383,0.6783199989507888
synthetic_alpha,knn__k5,knn,bgsrp__bandwidth0_5_gamma1,bgsrp,instant,0.3,0.5640404250509028,0.6603219567981421,4.372841342280737,0.6878403302907161
synthetic_alpha,knn__k5,knn,gsmooth__lam0_5_n_iter20,gsmooth,instant,0.3,0.15831368146082012,0.3679705157823366,1.907174500687598,5.908199890046474
synthetic_alpha,knn__k5,knn,puy__alpha0_5,puy,instant,0.3,0.5304513562159063,0.624261266870365,4.209177049015991,1.182751132928038
synthetic_alpha,knn__k5,knn,sobolev__alpha1_order2,sobolev,instant,0.3,0.587382763194033,0.66195040029087,5.413671303526815,0.6278879131580044
synthetic_alpha,knn__k5,knn,graph_time_tikhonov__alpha0_5_beta0_5,graph_time_tikhonov,tv_time,0.3,0.46404633183143856,0.5434380687427255,4.166908245886014,2.388005795368506
synthetic_alpha,knn__k5,knn,trss__alpha0_5_beta0_5_lr0_01_n_iter30,trss,tv_time,0.3,0.09607710229143133,0.23092925809857484,1.4487988638638563,10.218921013731244
synthetic_alpha,knn__k5,knn,tv__lam0_5_n_iter20,tv,tv_time,0.3,0.15272655292477966,0.3526386700488098,1.828469409442354,6.268868828505588
synthetic_alpha,knn__k5,knn,temporal_laplacian__alpha0_5_beta0_5,temporal_laplacian,tv_time,0.3,0.5248636295417475,0.5928867645281221,4.7822266680047605,1.5874182037047924
synthetic_alpha,knn__k5,knn,heat_diffusion_temporal__alpha0_5_beta0_5_n_iter10,heat_diffusion_temporal,tv_time,0.3,0.1834321354921316,0.41032298436596076,2.121037917393226,4.8971808605171585
synthetic_alpha,knn__k5,knn,spline_temporal__alpha0_5,spline_temporal,tv_time,0.3,0.2541149144548061,0.4798196590242809,3.309032509315735,5.893641755998056
synthetic_alpha,knn__k5,knn,wavelet_temporal__alpha0_5_wavelet_level1,wavelet_temporal,tv_time,0.3,0.17429521375251572,0.3398656680692128,2.0235079054172678,6.523203704506589
synthetic_alpha,knn__k5,knn,directed_tv__alpha0_5_beta0_5_n_iter10,directed_tv,tv_time,0.3,0.1870588502200338,0.4239836736549646,2.1379052406115804,4.669210497548692
synthetic_alpha,knn__k5,knn,linear,linear,instant,0.4,0.26569661932302446,0.5367399035445175,2.5435760942886323,2.6299592292918095
synthetic_alpha,knn__k5,knn,nearest,nearest,instant,0.4,0.2900651859963976,0.5997558052327439,2.922641332083956,1.7137379914449564
synthetic_alpha,knn__k5,knn,mean,mean,instant,0.4,0.22419172723242395,0.42806304422499863,2.1968428300457483,4.514791029177927
