dataset,scenario,missing_ratio,grupo,method,family,runs,mae_mean,mae_std,rmse_mean,rmse_std,dtw_mean,dtw_std,snr_mean,snr_std,mae_ci95,rmse_ci95,dtw_ci95,snr_ci95
synthetic,frontal_band,0.1,TV/Tiempo,tv,tv_time,69,0.0496514386931215,0.0032770050102309,0.1953924337677462,0.0132983095775075,0.3776447502329391,0.0254035472025892,0.8437470315115203,0.5498017315978754,0.000773229885697,0.0031378195524503,0.005994126294721,0.1297291669534289
synthetic,frontal_band,0.2,Baseline,spherical_spline,instant,23,0.1061779508960575,0.0,0.2925860566506567,0.0,0.762350954875224,0.0,0.4206368333428285,0.0,0.0,0.0,0.0,0.0
synthetic,frontal_band,0.2,GSP,gsmooth,instant,69,0.1113213152317891,0.0047927311238367,0.3105199400053368,0.0153839739990563,0.6688756013917501,0.0600765424039426,-0.0560889286805958,0.4347817916441162,0.0011308749689094,0.0036299451541023,0.0141754369831743,0.1025894907107427
synthetic,frontal_band,0.2,TV/Tiempo,tv,tv_time,69,0.1098743986495099,0.0036784608861532,0.3081304316974064,0.014978596972436,0.6404922154360743,0.0972567415480878,0.0593482000352721,0.3517283967545732,0.0008679559175714,0.003534293902127,0.0229483381672331,0.0829925212716668
synthetic,frontal_band,0.3,Baseline,spherical_spline,instant,23,0.1843974980585268,0.0,0.3814525298591033,0.0,1.4311724667741623,0.0,0.5415692243613943,0.0,0.0,0.0,0.0,0.0
synthetic,frontal_band,0.3,GSP,gsmooth,instant,69,0.192124200461501,0.0079265418658075,0.4003173240711222,0.0199193019553657,1.302624145020723,0.1052451418024687,0.1175648830939615,0.4200129022067546,0.0018703172688892,0.0047000842311886,0.0248332513108849,0.0991046786168122
synthetic,frontal_band,0.3,TV/Tiempo,tv,tv_time,69,0.1947423755343207,0.0122645947037227,0.4098844316343533,0.0326583200490336,1.217339466137992,0.1878792322688015,-0.051454515519203,0.6653191005000885,0.0028939080444713,0.0077059354501239,0.0443312832414069,0.1569862146764011
synthetic,frontal_band,0.4,Baseline,spherical_spline,instant,23,0.2307824215776189,0.0,0.4257078858865529,0.0,1.7386385573175005,0.0,0.7287711959322936,0.0,0.0,0.0,0.0,0.0
synthetic,frontal_band,0.4,GSP,gsmooth,instant,69,0.2396421146727273,0.0127758570321228,0.4429228068329235,0.0269566534926425,1.660671110762875,0.1160911913632952,0.3797205861733731,0.5163513740815888,0.0030145435975193,0.0063605914650165,0.0273924447317066,0.1218363452952095
synthetic,frontal_band,0.4,TV/Tiempo,tv,tv_time,69,0.2378080806979526,0.0102786182246563,0.4425216474996967,0.0243725464608269,1.5993656634614666,0.1669040782523584,0.4340571524027643,0.4125372568067255,0.0024253044380956,0.005750855203216,0.0393820640940521,0.0973407531970677
synthetic,left_lateral_temporal,0.1,Baseline,spherical_spline,instant,23,0.0542949098090239,0.0,0.2106607842136282,0.0,0.3748365577061689,0.0,0.2680294107337971,0.0,0.0,0.0,0.0,0.0
